time,high,low,open,close,volumefrom,volumeto
2023-06-03 06:00:00,27187.09,27126.78,27160.86,27151.04,284.33,7721534.15
2023-06-03 07:00:00,27181.34,27135.71,27151.04,27144.06,207.26,5628406.64
2023-06-03 08:00:00,27182.13,27141.85,27144.06,27178.11,200.98,5460130.97
2023-06-03 09:00:00,27196.15,27161.03,27178.11,27181.35,248.6,6755535.48
2023-06-03 10:00:00,27205.41,27178.54,27181.35,27182.63,251.24,6832104.76
2023-06-03 11:00:00,27330.86,27142.63,27182.63,27312.54,839.15,22856404.64
2023-06-03 12:00:00,27330.08,27240.9,27312.54,27262.84,699.58,19093056.27
2023-06-03 13:00:00,27267.75,27136.58,27262.84,27170.91,507.27,13794969.57
2023-06-03 14:00:00,27195.62,27140.16,27170.91,27158.15,345.58,9389692.06
2023-06-03 15:00:00,27175.49,27055.36,27158.15,27106.87,766.93,20795977.98
2023-06-03 16:00:00,27135.44,27068.84,27106.87,27071.88,412.06,11168535.19
2023-06-03 17:00:00,27086.48,26946.35,27071.88,27018.5,757.36,20450831.19
2023-06-03 18:00:00,27085.48,27017.13,27018.5,27080.8,333.29,9020121.45
2023-06-03 19:00:00,27093.58,27062.93,27080.8,27078.3,234.7,6355699.65
2023-06-03 20:00:00,27080.4,27017.52,27078.3,27018.41,251.7,6809388.08
2023-06-03 21:00:00,27086.93,26964.17,27018.41,27051.72,470.85,12728082.06
2023-06-03 22:00:00,27101.72,27046.04,27051.72,27092.82,300.73,8141508.2
2023-06-03 23:00:00,27093.33,27054.42,27092.82,27068.38,205.89,5573882.01
2023-06-04 00:00:00,27091.65,27045.51,27068.38,27061.4,419.97,11362839.68
2023-06-04 01:00:00,27062.98,27035.92,27061.4,27047.79,105.08,2842002.27
2023-06-04 02:00:00,27145.76,27044.53,27047.79,27137.91,294.05,7969528.8
2023-06-04 03:00:00,27169.21,27134.32,27137.91,27153.99,353.86,9608667.6
2023-06-04 04:00:00,27164.19,27129.21,27153.99,27157.7,209.41,5684984.12
2023-06-04 05:00:00,27252.07,27157.67,27157.7,27222.25,372.43,10130931.35
2023-06-04 06:00:00,27235.77,27200.43,27222.25,27228,154.49,4204943.06
2023-06-04 07:00:00,27239.73,27189.94,27228,27204.8,196.73,5354288.15
2023-06-04 08:00:00,27221.88,27170.47,27204.8,27219.76,205.77,5596694.01
2023-06-04 09:00:00,27300.05,27215.16,27219.76,27255.65,313.66,8549428.55
2023-06-04 10:00:00,27269.78,27181.04,27255.65,27243.8,351.75,9577398.75
2023-06-04 11:00:00,27255.1,27190.03,27243.8,27191.12,268.78,7313801.64
2023-06-04 12:00:00,27205.52,27168.6,27191.12,27181.92,229.38,6236475.35
